student_id,name,roll_number,department,year,attendance_pct,backlogs,grade_trend,fee_delay_days,family_income_bracket,extracurricular,attendance_trend_3m,risk_level
1,Student_0001,ROLL00001,Commerce,4,83.66,2,-0.234,10,high,1,1.83,Low
2,Student_0002,ROLL00002,MBA,1,62.55,0,0.95,33,low,0,-10.26,Medium
3,Student_0003,ROLL00003,BCA,2,73.22,0,-0.544,14,mid,0,-2.11,Low
4,Student_0004,ROLL00004,CE,4,66.75,0,-1.058,0,mid,1,3.58,Low
5,Student_0005,ROLL00005,ECE,2,48.09,0,0.738,1,mid,0,-10.63,Medium
6,Student_0006,ROLL00006,Physics,1,66.58,0,1.057,27,low,0,1.66,Medium
7,Student_0007,ROLL00007,ME,3,68.27,0,-1.508,0,mid,0,5.8,Medium
8,Student_0008,ROLL00008,Physics,2,55.83,0,-0.076,7,high,1,-3.29,Medium
9,Student_0009,ROLL00009,CSE,3,73.57,0,0.092,35,mid,0,-18.9,Medium
10,Student_0010,ROLL00010,CE,1,62.67,0,-0.502,57,low,1,-0.94,Medium
11,Student_0011,ROLL00011,CE,4,96.69,0,-0.309,1,high,1,6.37,Low
12,Student_0012,ROLL00012,Commerce,2,76.7,0,-0.421,1,mid,0,-4.29,Low
13,Student_0013,ROLL00013,Physics,4,76.64,0,-1.919,5,mid,0,-3.21,Low
14,Student_0014,ROLL00014,BCA,3,100.0,0,0.302,23,low,1,6.84,Low
15,Student_0015,ROLL00015,ME,4,57.57,2,1.405,3,low,1,8.14,Low
16,Student_0016,ROLL00016,MBA,3,61.81,0,0.069,15,mid,0,-10.36,Medium
17,Student_0017,ROLL00017,ECE,4,57.9,0,0.814,28,low,1,-12.85,Medium
18,Student_0018,ROLL00018,CE,1,68.29,0,1.191,6,high,1,-1.0,Low
19,Student_0019,ROLL00019,Physics,4,77.28,0,1.866,8,low,1,0.79,Low
20,Student_0020,ROLL00020,CE,4,51.65,1,0.941,12,mid,0,-13.96,Medium
21,Student_0021,ROLL00021,BCA,2,87.82,0,1.209,4,high,1,5.69,Low
22,Student_0022,ROLL00022,ME,4,56.57,0,0.482,107,low,1,-3.99,High
23,Student_0023,ROLL00023,MBA,3,63.86,1,1.046,0,high,1,-5.74,Low
24,Student_0024,ROLL00024,Physics,2,78.94,0,-1.143,47,low,1,-10.67,Medium
25,Student_0025,ROLL00025,MBA,2,77.48,0,0.024,8,high,1,3.98,Low
26,Student_0026,ROLL00026,CE,3,83.73,0,-0.237,1,low,1,-5.94,Low
27,Student_0027,ROLL00027,ECE,2,55.92,0,1.56,34,low,0,-1.97,Medium
28,Student_0028,ROLL00028,Commerce,3,60.27,0,0.186,23,mid,0,-9.34,Medium
29,Student_0029,ROLL00029,MBA,2,81.09,1,-1.2,1,high,1,1.33,Low
30,Student_0030,ROLL00030,MBA,1,94.8,0,1.651,2,high,0,9.33,Low
31,Student_0031,ROLL00031,CSE,1,79.99,1,-0.927,22,low,0,-3.48,Low
32,Student_0032,ROLL00032,ECE,2,48.6,0,-0.466,14,mid,1,-8.76,Medium
33,Student_0033,ROLL00033,CE,4,68.36,0,0.647,17,low,1,-1.99,Medium
34,Student_0034,ROLL00034,MBA,4,36.86,1,-0.623,1,mid,0,-16.71,High
35,Student_0035,ROLL00035,CE,2,88.19,0,0.813,4,mid,0,6.15,Low
36,Student_0036,ROLL00036,CSE,3,82.99,2,-0.592,6,mid,1,1.91,Medium
37,Student_0037,ROLL00037,MBA,3,95.5,0,0.682,7,mid,0,1.45,Low
38,Student_0038,ROLL00038,Physics,4,69.66,0,2.0,5,mid,0,6.26,Low
39,Student_0039,ROLL00039,Commerce,4,71.78,0,0.076,8,mid,1,-8.42,Low
40,Student_0040,ROLL00040,CE,1,66.22,0,0.244,1,mid,1,-6.77,Low
